show_id,director_1,director_2,director_3,director_4,director_5,director_6,director_7,director_8,director_9,director_10,director_11,director_12,director_13
s203,Sangeeth Sivan,null,null,null,null,null,null,null,null,null,null,null,null
s204,Umesh Ghadge,null,null,null,null,null,null,null,null,null,null,null,null
s205,Sachin Yardi,null,null,null,null,null,null,null,null,null,null,null,null
s206,David Dhawan,null,null,null,null,null,null,null,null,null,null,null,null
s207,Dibakar Banerjee,null,null,null,null,null,null,null,null,null,null,null,null
s208,Apoorva Lakhia,null,null,null,null,null,null,null,null,null,null,null,null
s209,Milan Luthria,null,null,null,null,null,null,null,null,null,null,null,null
s210,Milan Luthria,null,null,null,null,null,null,null,null,null,null,null,null
s211,Pawan Kripalani,null,null,null,null,null,null,null,null,null,null,null,null
s212,Bhushan Patel,null,null,null,null,null,null,null,null,null,null,null,null
s213,null,null,null,null,null,null,null,null,null,null,null,null,null
s214,null,null,null,null,null,null,null,null,null,null,null,null,null
s215,Magnus Martens,null,null,null,null,null,null,null,null,null,null,null,null
s216,Apoorva Lakhia,null,null,null,null,null,null,null,null,null,null,null,null
s217,Raj Nidimoru,Krishna D.K.,null,null,null,null,null,null,null,null,null,null,null
s218,Milan Luthria,null,null,null,null,null,null,null,null,null,null,null,null
s219,null,null,null,null,null,null,null,null,null,null,null,null,null
s220,null,null,null,null,null,null,null,null,null,null,null,null,null
s221,null,null,null,null,null,null,null,null,null,null,null,null,null
s222,Joshua Rofé,null,null,null,null,null,null,null,null,null,null,null,null
s223,Brad Anderson,null,null,null,null,null,null,null,null,null,null,null,null
s224,Mauricio Dias,Tatiana Villela,null,null,null,null,null,null,null,null,null,null,null
s225,null,null,null,null,null,null,null,null,null,null,null,null,null
s226,null,null,null,null,null,null,null,null,null,null,null,null,null
s227,null,null,null,null,null,null,null,null,null,null,null,null,null
s228,Angel Kristi Williams,null,null,null,null,null,null,null,null,null,null,null,null
s229,Roger Donaldson,null,null,null,null,null,null,null,null,null,null,null,null
s230,Christopher Alender,null,null,null,null,null,null,null,null,null,null,null,null
s231,Rush Sturges,null,null,null,null,null,null,null,null,null,null,null,null
s232,David Oyelowo,null,null,null,null,null,null,null,null,null,null,null,null
s233,null,null,null,null,null,null,null,null,null,null,null,null,null
s234,Mark Lo,null,null,null,null,null,null,null,null,null,null,null,null
s235,null,null,null,null,null,null,null,null,null,null,null,null,null
s236,Crystal Moselle,null,null,null,null,null,null,null,null,null,null,null,null
s237,Rathindran R Prasad,null,null,null,null,null,null,null,null,null,null,null,null
s238,Rathindran R Prasad,null,null,null,null,null,null,null,null,null,null,null,null
s239,Rathindran R Prasad,null,null,null,null,null,null,null,null,null,null,null,null
s240,Rathindran R Prasad,null,null,null,null,null,null,null,null,null,null,null,null
s241,Han Kwang Il,null,null,null,null,null,null,null,null,null,null,null,null
s242,null,null,null,null,null,null,null,null,null,null,null,null,null
s243,null,null,null,null,null,null,null,null,null,null,null,null,null
s244,null,null,null,null,null,null,null,null,null,null,null,null,null
s245,Karim El Shenawy,null,null,null,null,null,null,null,null,null,null,null,null
s246,null,null,null,null,null,null,null,null,null,null,null,null,null
s247,Yin Chen-hao,null,null,null,null,null,null,null,null,null,null,null,null
s248,Brian Andrew Mendoza,null,null,null,null,null,null,null,null,null,null,null,null
s249,null,null,null,null,null,null,null,null,null,null,null,null,null
s250,Dave Needham,null,null,null,null,null,null,null,null,null,null,null,null
s251,Veronica Velasco,null,null,null,null,null,null,null,null,null,null,null,null
s252,Drake Doremus,null,null,null,null,null,null,null,null,null,null,null,null
s253,Miguel Alexandre,null,null,null,null,null,null,null,null,null,null,null,null
s254,Mani Ratnam,null,null,null,null,null,null,null,null,null,null,null,null
s255,null,null,null,null,null,null,null,null,null,null,null,null,null
s256,Michael Harte,null,null,null,null,null,null,null,null,null,null,null,null
s257,Tosin Igho,null,null,null,null,null,null,null,null,null,null,null,null
s258,Mani Ratnam,null,null,null,null,null,null,null,null,null,null,null,null
s259,Alice Filippi,null,null,null,null,null,null,null,null,null,null,null,null
s260,Paakhi Tyrewala,null,null,null,null,null,null,null,null,null,null,null,null
s261,null,null,null,null,null,null,null,null,null,null,null,null,null
s262,Bruno Garotti,null,null,null,null,null,null,null,null,null,null,null,null
s263,Laura Brownson,null,null,null,null,null,null,null,null,null,null,null,null
s264,null,null,null,null,null,null,null,null,null,null,null,null,null
s265,Steve Brill,null,null,null,null,null,null,null,null,null,null,null,null
s266,null,null,null,null,null,null,null,null,null,null,null,null,null
s267,null,null,null,null,null,null,null,null,null,null,null,null,null
s268,Jane Campion,null,null,null,null,null,null,null,null,null,null,null,null
s269,Moses Inwang,null,null,null,null,null,null,null,null,null,null,null,null
s270,null,null,null,null,null,null,null,null,null,null,null,null,null
s271,Ferdinando Cito Filomarino,null,null,null,null,null,null,null,null,null,null,null,null
s272,null,null,null,null,null,null,null,null,null,null,null,null,null
s273,null,null,null,null,null,null,null,null,null,null,null,null,null
s274,Juan Carlos Medina,null,null,null,null,null,null,null,null,null,null,null,null
s275,null,null,null,null,null,null,null,null,null,null,null,null,null
s276,null,null,null,null,null,null,null,null,null,null,null,null,null
s277,Inma Torrente,null,null,null,null,null,null,null,null,null,null,null,null
s278,null,null,null,null,null,null,null,null,null,null,null,null,null
s279,Julián Gaviria,null,null,null,null,null,null,null,null,null,null,null,null
s280,Steven Yamamoto,null,null,null,null,null,null,null,null,null,null,null,null
s281,null,null,null,null,null,null,null,null,null,null,null,null,null
s282,Charles Uwagbai,null,null,null,null,null,null,null,null,null,null,null,null
s283,Julián Hernández,null,null,null,null,null,null,null,null,null,null,null,null
s284,Sam Hobkinson,null,null,null,null,null,null,null,null,null,null,null,null
s285,Vince Marcello,null,null,null,null,null,null,null,null,null,null,null,null
s286,Jonathan Teplitzky,null,null,null,null,null,null,null,null,null,null,null,null
s287,null,null,null,null,null,null,null,null,null,null,null,null,null
s288,Sakon Tiacharoen,null,null,null,null,null,null,null,null,null,null,null,null
s289,null,null,null,null,null,null,null,null,null,null,null,null,null
s290,null,null,null,null,null,null,null,null,null,null,null,null,null
s291,Floyd Russ,null,null,null,null,null,null,null,null,null,null,null,null
s292,null,null,null,null,null,null,null,null,null,null,null,null,null
s293,Dustin Hoffman,null,null,null,null,null,null,null,null,null,null,null,null
s294,Adze Ugah,null,null,null,null,null,null,null,null,null,null,null,null
s295,Hideaki Takizawa,null,null,null,null,null,null,null,null,null,null,null,null
s296,Quoc Bao Tran,null,null,null,null,null,null,null,null,null,null,null,null
s297,null,null,null,null,null,null,null,null,null,null,null,null,null
s298,Bejoy Nambiar,Priyadarshan,Karthik Narain,Vasanth Sai,Karthik Subbaraj,Arvind Swamy,Rathindran R Prasad,Sarjun,Gautham Vasudev Menon,null,null,null,null
